X,Y,OBJECTID,BEST_LOCATION,SPRING_KEY,RESOURCE_,SURFACE_WATER_MEASURE,SPRING_NAME,STATION_NAME,STATION_ALIAS,STATION_ID,DATA_SOURCE,STATION_COMMENTS,TIDAL,FGS_MAGNITUDE,SPRING_CLUSTER,DMS_LAT,DMS_LON,ALBERS_X,ALBERS_Y,DATUM_ALBERS,LOCATION_METHOD,OFS_NAME
-82.5862855550445,28.7967463888981,1,CONDITIONAL,96,SPRING_GENERAL,YES,BELCHER SPRING,BELCHER SPRING, ,284801082351701,SWFWMD - DEWITT, ,NONTIDAL,2,HOMOSASSA GROUP,28 47 48.287,82 35 10.628,537742.728151,533068.548874,NAD83/HARN/HPGN,DPHO,Homosassa Spring Group
-82.062387777527,28.7573774996178,2,CONDITIONAL,102,SPRING_GENERAL,YES,BELTONS HEAD SPRING 1,BELTONS MILLPOND HEAD SPRING 1, ,284526082034401,SWFWMD - DEWITT, ,NONTIDAL,2,PANASOFFKEE CLUSTER,28 45 26.559,82 03 44.596,588852.828276,529390.678718,NAD83/HARN/HPGN, ,
-82.0621033331308,28.7576363889189,3,CONDITIONAL,103,SPRING_GENERAL,YES,BELTONS HEAD SPRING 2,BELTONS MILLPOND HEAD SPRING 2, ,284527082034301,SWFWMD - DEWITT, ,NONTIDAL,2,PANASOFFKEE CLUSTER,28 45 27.491,82 03 43.572,588880.098082,529419.861272,NAD83/HARN/HPGN, ,
-82.0634116664063,28.7578869445966,4,CONDITIONAL,104,SPRING_GENERAL,YES,BELTONS MILLPOND HEAD SPRING 2A,BELTONS MILLPOND HEAD SPRING 2A, ,284528082034801,SWFWMD - DEWITT, ,NONTIDAL,2,PANASOFFKEE CLUSTER,28 45 28.393,82 03 48.282,588752.152876,529445.679558,NAD83/HARN/HPGN, ,
-82.0631938892441,28.7584350001469,5,CONDITIONAL,107,SPRING_GENERAL,YES,BELTONS MILLPOND HEAD SPRING 4,BELTONS MILLPOND HEAD SPRING 4 (BLUE HOLE), ,284530082034701,SWFWMD - DEWITT, ,NONTIDAL,2,PANASOFFKEE CLUSTER,28 45 30.366,82 03 47.498,588772.421236,529506.86876,NAD83/HARN/HPGN, ,
-82.0625136108069,28.7581099999732,6,CONDITIONAL,105,SPRING_GENERAL,YES,BELTONS MILLPOND SPRING 2B,BELTONS MILLPOND HEAD SPRING 2B, ,284529082034501,SWFWMD - DEWITT, ,NONTIDAL,2,PANASOFFKEE CLUSTER,28 45 29.196,82 03 45.049,588839.286672,529471.822478,NAD83/HARN/HPGN, ,
-82.0625847225042,28.7582422222101,7,CONDITIONAL,106,SPRING_BOIL,YES,BELTONS SPRING 3 MAIN BOIL,BELTONS SPRING 3 MAIN BOIL, ,284529082034502,SWFWMD - DEWITT, ,NONTIDAL,2,PANASOFFKEE CLUSTER,28 45 29.672,82 03 45.305,588832.125629,529486.395477,NAD83/HARN/HPGN, ,
-85.2693859372025,30.1629888009119,8,CONDITIONAL,3689,KARST_WINDOW,YES,BIG BRANCH KARST,1154 - BIG BRANCH - UNNAMED KARST, ,1154-D,FL STORET, , ,N/A, ,30 09 46.764,85 16 09.804,277880.63219,684601.710886,NAD83, ,
-82.1518972207294,25.8335531822742,9,CONDITIONAL,2633,SPRING_DRAIN,NO,BIG JACK HOLE SINK,BIG JACK HOLE, ,BIG JACK HOLE SINK,DIVING GUIDE UW FL VOL 6,"Gulf of Mexico, Collier County, Marco Island", ,N/A, ,25 50 33.792,82 09 06.84,584994.286742,204665.374254,NAD83, ,
-83.5577876721777,29.844722099447,10,CONDITIONAL,146,SPRING_GENERAL,YES,BLUE CREEK SPRING,BLUE CREEK SPRING NR KEATON BEACH, ,BKS010C1,SRWMD - HORNSBY, , ,2, ,29 50 41.01,83 33 28.043,442669.727053,648719.949594,NAD83, ,
